title,content,url
Get to Know Super Au Pair Finalist Dani!,Since her first interview with the Cassidy family  Dani felt a connection. She’d had other interviews prior  but it didn’t feel the same. “When I was talking with them  I really felt that they were interested in me and my experience as an au pair. I felt they wanted me to enjoy my au pair experience and I really appreciated that ” Dani recalls. Dani also felt the Cassidys were patient with her English during their chats. She felt comfortable talking to them in her non-native language  despite the challenges of using words and grammar she wasn’t used to using on a daily basis. As Dani prepared for her departure from Mexico City to Pennsylvania  the Cassidys sent Dani information about their local city  Philadelphia. Dani’s brother  an avidRockyfan  let her know she was going to be enteringRockyterritory living in Philly. During her first weekend  the Cassidys took Dani to the famousRocky stepsat the Philadelphia Museum of Art. Host dad Brian and au pair Dani ran up the steps humming the Rocky theme song. It was a fun memory and a great way to kick off Dani’s au pair year with the Cassidys.   Dani has loved taking care of now nine-month-old baby boy Hart. Since day one  Hart has shown her how much he’s taken to Dani through his smile. Dani says  “He is warm  just like his parents.” Taking care of a young baby can present its challenges  but Dani has loved watching him grow and change as the months go by. With host mom Kate working from home  Dani and Kate will often talk about Hart’s development and care. It’s usually the topic of conversation during their daily lunch dates at home during Hart’s nap time. “She is a good listener. She gives good advice. I really appreciate that we talk. She asks me how I feel ” Dani says about her host mom. Cultural exchange has been a huge part of Dani’s and the Cassidy’s au pair program experience. Sharing a love for music and literature  Dani and host dad Brian have exchanged ideas about music genres and books. Brian has introduced Dani to new and different kinds of American music and Dani has shared cumbia and salsa music with Brian  typical sounds of Mexico City  where Dani is from. The social and extroverted Cassidys always include Dani in their plans as well  so she never feels left out. This past November  Dani got to experience Thanksgiving for the first time. She appreciated that Americans celebrate a holiday solely dedicated to giving thanks.   The thoughtful Cassidys continue to treat Dani with gratitude and generosity. During their interviews  Dani had shared with them how much she’d always wanted to visit New York. Kate and Brian bought her a ticket  asked some friends if she could stay with them in Brooklyn  and organized a trip for her to visit this long-awaited destination. They also gifted her a flight home to Mexico City for Christmas so she could enjoy the holiday with her natural family. Both Kate and Brian have been to Mexico City multiple times before  and Dani hopes that they’ll return in the future to visit her. “I’m excited to think they will visit me in the future and I can share with them my city.” Congratulations  Dani  on being a 2024Super Au PairFinalist! Marisa is a lover of all things cultural exchange. She and her family have hosted au pairs from Brazil  Germany  Colombia  Spain  and Ecuador. As a mom of four and the founder of Mama Work It  she helps working moms juggle mom life  work life  spouse life  fill in the blank life through her books  courses and coaching programs. The Au Pair Life blog is a resource for au pairs visiting the U.S. as participants of the Au Pair USA program. Visit the Host Family blog Follow on our social communities and receive NEW posts       © 2025Au Pair USA Life – Au Pair Blog,https://blog.aupairusa.org/au-pairs/become-au-pair/super-au-pair-finalist-dani/
Get to Know Au Pair USA’s 2024 Super Au Pair: Carla!,Any au pair would probably feel a little nervous about joining a family withfive kids. But for Carla  a 26-year-old au pair from Mexico  those fears didn’t last long. From the interview process with the Sharkey family in March 2023  Carla knew right away that this would be an incredible match. The conversation flowed nicely. They were funny and positive  and they had so much in common  including skiing  running  and musical theatre.   Joining a “quilted family” as host dad Mike Sharkey puts it  Carla rose to the challenge. Not only had this family blended five children together after the deaths of a biological mom and dad  but they’d only begun living together 20 days prior to Carla’s arrival after Mike and Marisa got married. Carla’s initial nerves of moving abroad and taking care of five kids escaped quickly though  as the Sharkeys made her immediately feel comfortable and welcome. Shortly after settling in  devastation occurred in the form of a house fire. The Sharkeys had just completed a home renovation and moved into their dream house. They were eager to begin this next chapter of their lives as one family unit  Carla included. During dinner one evening  the family heard noises by the chimney  but thought nothing of it. They enjoyed their meal and conversation as usual  laughing and chatting about their day. After dinner  Carla started making lunches for the next day  while some of the kids were getting ready for bed. A neighbor knocked on the door and told them the chimney was on fire! Carla quickly got the kids and dog out of the house. She was the calming force in a time of chaos  running after the Sharkey’s son who wanted to return to the home after evacuating and wiping tears from others who sat filled with fear. Even though Carla was scared too (fire is her biggest fear even before this happened)  she was able to step up as a caregiver and support system to the Sharkey kids during this critical time. Carla credits her ability to be so strong to her host parents  who are a constant positive force no matter what the circumstances. She recalls host dad Mike telling the visibly upset children that night  “If there’s a family that knows how to pivot  it’s us.” The weeks that followed were probably the most challenging for au pair Carla. She was responsible for helping move six people’s belongings into temporary housing. The stress and anxiety of making sure she didn’t forget anything for herself or her host kids was tough. She remembers packing a box for everyone during that week  while the host parents handled all the necessary steps with insurance  a temporary home  etc. “It was around the holidays  so I was feeling pretty down. We did it as a team and as a family  so it went by quickly”  Carla recalls. While the home fire and aftermath may have been a bump in the road  Carla’s au pair experience with the Sharkeys has presented many happy memories and experiences. With all their commonalities  they’ve enjoyed skiing together in the Colorado mountains and running together on Saturday mornings as a family. Host dad Mike has even helped Carla train for two marathons since her arrival in 2023.   Perhaps the most memorable of Carla’s experiences with the Sharkeys  however  has been being present for the cross adoption of the children. In summer 2024  Mike and Marisa cross-adopted each other’s children. “I never thought I’d experience it in the U.S. or anywhere. It was a unique experience”  Carla recalls. “The priest was there and the grandparents. When they made it official and hugged  it was a very sweet moment.”   Carla’s two-year au pair program will be coming to an end in July 2025.  While this departure will certainly be a sad one  Carla and the Sharkeys will most certainly remain family for life. Experiences like a home fire may be hard in the moment  but they also strengthen relationships like no other. “This program is amazing. It gives you the chance to explore and connect  but the Sharkeys have made it a lot more special for me.” Thank you  Carla for sharing your story and for being Au Pair USA’s2024 Super Au Pair! Marisa is a lover of all things cultural exchange. She and her family have hosted au pairs from Brazil  Germany  Colombia  Spain  and Ecuador. As a mom of four and the founder of Mama Work It  she helps working moms juggle mom life  work life  spouse life  fill in the blank life through her books  courses and coaching programs. The Au Pair Life blog is a resource for au pairs visiting the U.S. as participants of the Au Pair USA program. Visit the Host Family blog Follow on our social communities and receive NEW posts       © 2025Au Pair USA Life – Au Pair Blog,https://blog.aupairusa.org/au-pairs/cultural-exchange-stories/super-au-pair-2024/
Understanding American Holiday Culture,This post was originally published in December 2015 and revised by other contributors in December 2024. The holiday season is upon us! Here’s a quick overview of holidays celebrated in the U.S. to to get you acclimated to some of fall’s main celebrations  American style: This holiday gives children the opportunity to dress up in their scariest (or prettiest  or wackiest) outfits  while running around the neighborhood  yelling “trick or treat!” and filling pillowcases with fun-sized chocolates and candies. Take note that many people of all ages celebrateHalloween. Don’t be surprised if almost everyone on your block is handing out candy  if your children wear costumes to a school event  or even if your host parents or you get invited to a Halloween party! However  some families choose not to celebrate Halloween for religious reasons. Be sure you and your host family are on the same page before making jack-o-lanterns with the kids! Thanksgiving  or “Turkey Day” as you may hear it referred to  commemorates a feast shared by both indigenous Americans and early Pilgrims to the New World. This day brings American families together to cook a massive feast  eat it together  view a football game  and to remember to give thanks for the food  family  and other good fortune they have. Many workers are given a day off on both Thursday and Friday. During this holiday  many Americans make the journey back to their hometowns or to the cities where other loved ones live in an effort to share with their family. According to the U.S. Department of Transportation Bureau of Transportation Statistics Thanksgiving is the most heavily traveled time of year! While not an official holiday  Black Friday is the day after Thanksgiving and is worth mentioning here. It’s the biggest sale day of the year for shopping! Nearly every store offers lower pricing on their products on Black Friday in preparation for gift buyers starting their Christmas  Hanukkah  and Kwanzaa shopping. Be sure to take advantage of some of these deals  but also beware: stores are crowded  lines are long  and high-demand products may sell out quickly. If crowded shopping isn’t your thing  don’t worry. Most stores will offer online savings as well! This eight-day festival of lights commemorates the rededication of the holy Temple in Jerusalem after the reclamation from Greek-Syrian conquerors. Jewish families celebrate Hanukkah by lighting thehanukkiah(usually referred to as amenorah). Each night at sundown  another candle is lit until at the end of the celebration all of the eight candles are glowing (the candle in the middle is used to light the others  so there are nine in total). Families also exchange gifts each evening and share traditional foods such as potato pancakes  calledlatkes  and jelly-filled doughnuts. People of all ages  but especially children  love playingdreideland giving outgelt! While a traditionally Christian holiday celebrating the birth of Jesus Christ  the celebration of Christmas has integrated itself into secular United States culture. Don’t be surprised to see garland  bows  fake snow  bells  Santa  and signs wishing everyone a “Merry Christmas!” or “Happy Holidays!” around your city. There are many Americans who do not celebrate Christmas. If you’re not sure if someone celebrates Christmas or not  it’s good form to tell people “Happy Holidays!” rather than “Merry Christmas!” Christmas is a time for gift-giving and sharing a meal with family. Much like Thanksgiving  this is a big time for travel. Many people do their best to make it “home for Christmas” – even if it is the only time of the year that they see their family. Children will eagerly await the arrival of Santa Claus  who – the story goes – comes down the chimney on Christmas Eve in order to stuff children’s stockings with goodies and leave gifts under the Christmas tree! Kwanzaais a weeklong celebration that honors African heritage in African-American culture. Kwanzaa is observed from December 26th to January 1st  and ends with a celebratory meal and gift exchange. Kwanzaa is a relatively newer holiday than Hanukkah or Christmas  having begun in 1966.There are seven principles  which coordinate with the seven days and seven candles that are lit throughout the week: Umoja (unity)  Kujichagulia (self-determination)  Ujima (collective work and responsibility)  Ujamaa (cooperative economics)  Nia (purpose)  Kuumba (creativity) and Imani (faith). Kwanzaa is not a religious holiday. New Year’s Eve is a night to celebrate the past year and welcome the new one! Depending on your host family’s plans  you may have the night off to hang out with friends  or you might be working so your host parents can enjoy a party or event for adults only  since New Year’s events usually don’t end until after midnight. No matter your plans  it will be a New Year’s Eve to remember—one you spent in the U.S. The holiday season can be a busy time of year  filled with many parties  events  and social gatherings. Whether the holidays you celebrate during your au pair program year are similar to or different from what you’ve experienced before  the holiday season is a wonderful time to experience cultural exchange with new family and friends. Be intentional about participating in these experiences. You’ll create so many wonderful new memories by doing so! The Au Pair Life blog is a resource for au pairs visiting the U.S. as participants of the Au Pair USA program. Visit the Host Family blog Follow on our social communities and receive NEW posts       © 2025Au Pair USA Life – Au Pair Blog,https://blog.aupairusa.org/au-pairs/cultural-exchange-stories/understanding-american-holiday-culture/
When Cultural Exchange Transforms Family to Famiglia,TheAu Pair USA programis more than just a childcare solution for busy families—it creates opportunities for genuine cultural exchange and lifelong connections. The story of Marianna  a 26-year-old au pair from Puglia  Italy  and her host family demonstrates how this program can transform lives and create bonds that extend far beyond the au pair program’s official duration  which is usually one to two years. Findingthe right host familyis crucial for any au pair’s success. For Marianna  like many others  the prospect of moving to a new country brought considerable anxiety. “Before being an au pair  I was so scared to come to the USA and find a family that wasn’t good ” she recalls. “I was scared to go into a rematch and change (my) family or go back home.” Her host family  consisting of Eleanor  Pierpaolo  their 3-year-old son Elio  and baby Valentino  had their own specific hopes for the program. As Eleanor explains  “We wanted someone to join our family that we could trust and have close to us  and who would be a real part of our family.” With Pierpaolo’s Italian heritage  they specifically sought an Italian au pair who could help maintain their children’s connection to their cultural roots. During the interview process  Marianna stood out immediately. “She was the best!! Mature  interesting  kind  humble and seemed genuinely interested in meeting us and joining our lives ” Eleanor shares. This initial impression grew into a deeper relationship that extended beyond typical host family-au pair bonds. Since Marianna’s arrival in May 2023  she has become an integral part of the family. “I love my host family because they treat me like a real member of the family ” she says. “They respect me  respect my space and my free time. I love that they respect my working hours without ever exceeding them.” This adherence toprogram rules and regulationsis particularly important  as it creates a foundation of mutual respect and trust. Marianna’s relationship with baby Valentino has been very special. Having cared for him since he was just one month old  their connection grew so strong that “Marianna” became his first word! The depth of their connection became clear during a Christmas celebration on December 23rd. During the festivities with extended family  Marianna surprised her host family with a poster asking to extend her stay for another year. Their response wasn’t just an enthusiastic “yes!” And they had a surprise of their own: asking Marianna to become Valentino’s godmother. “I will remember that day for the rest of my life ” Marianna recalls  her voice full of emotion. “We all were happy and crying tears of joy.” This moment transformed their relationship from a temporary childcare arrangement into a permanent family bond. On March 9  2024  both families gathered in Cormons  a town in northern Italy  for Valentino’s baptism. The celebration beautifully merged both families and cultures. Marianna’s family traveled from Puglia  bringing traditional dishes like focaccia  mozzarella  and stracciatella  creating a feast that celebrated both the spiritual occasion and their newfound family connections. The end of Marianna’s au pair program won’t mark the end of their relationship. “I will always be present in Valentino’s life ” she affirms. “I will come back and visit him after my 2 years of au pair  they can come to Italy and visit me ALL THE TIME  WHENEVER THEY WANT.“ Eleanor shares this sentiment with humor: “She’s stuck with us! We’ll bring the boys to visit her in Puglia  and she can come back to visit any time  and when the boys are older we’ll send them to spend summers with her.“ Marianna’s story exemplifies how theAu Pair programcan create lasting impacts beyond its primary goals. While the au pair program is designed to provide childcare while promoting cultural exchange  in cases like Marianna’s  it creates something even more valuable: lifelong family bonds that span continents and cultures. When both host family and au pair approach the experience with openness  respect  and genuine care  the rewards can far exceed expectations  creating connections that last a lifetime. Marisa is a lover of all things cultural exchange. She and her family have hosted au pairs from Brazil  Germany  Colombia  Spain  and Ecuador. As a mom of four and the founder of Mama Work It  she helps working moms juggle mom life  work life  spouse life  fill in the blank life through her books  courses and coaching programs. The Au Pair Life blog is a resource for au pairs visiting the U.S. as participants of the Au Pair USA program. Visit the Host Family blog Follow on our social communities and receive NEW posts       © 2025Au Pair USA Life – Au Pair Blog,https://blog.aupairusa.org/au-pairs/au-pair-advice/when-cultural-exchange-transforms-family-to-famiglia/
Thanksgiving Tips for Au Pairs,This post was originally published in November 2021 and was revised by other contributors in November 2024. Experiencing American holidays is one of the best parts of being on the Au Pair cultural exchange program. On the fourth Thursday of November most people in the U.S. celebrateThanksgiving. You’ve probably heard stories or seen movies that showed families celebrating Thanksgiving together. You might be thinking  ‘That food looks strange’ or ‘Why do Americans watch football on this day?’ We want to give you some tips for getting the most out of this ultra-American holiday. Thanksgiving originated in 1621 when the Plymouth colonists (or “Pilgrims”) and the native Wampanoag people shared an feast after a plentiful autumn harvest. [Learn more about the history of Thanksgiving]. Nowadays  Thanksgiving remains a day where families and friends get together to express gratitude. It’s tradition to eat a big meal on Thanksgiving. Here are some things you’ll likely see on the dinner table: turkey  stuffing  cranberry sauce  gravy  mashed potatoes  sweet potatoes  and pumpkin pie just to name a few. The food may look weird and unfamiliar to you  but try it all!  Jacqueline  an au pair from Brazil  said  “At first everything was strange  and I didn’t think I would like anything. But  it became my favorite meal in this country since then.” First  don’t be shy to share your culture.The first Thanksgiving was a celebration of cultural exchange  with the Native Americans teaching the Pilgrims how to hunt and find local fruits like grapes and cranberries. In return  the Pilgrims introduced English crops like cabbage and carrots to the menu. Let that be even more of a reason to add some authentic El Salvadorian pupusas to your host family’s appetizer spread  or a delicious Italian tiramisu to the dessert selection. Jacqueline said  “My host kids love when I make brigadeiro  a typical Brazilian dessert”. You may be asked to share about something you’re grateful for as part of the conversation during dinner. You can probably think of many things this year  especially as an au pair! Many American families watchNFL footballon Thanksgiving Day. The NFL has been playing football games on Thanksgiving Day since 1934. Two teams who almost always play on this day are the Dallas Cowboys and Detroit Lions. You might also want to tune into the famousMacy’s Thanksgiving Day parade. It’s been a tradition in New York City since 1924 and is broadcast across the country. Ask your host family what channel you can watch the parade on Thanksgiving morning. If you’re close to Manhattan  you may want to go watch it in person! Although not exactly part of Thanksgiving Black Fridayis a big day for sales. It usually begins on Thanksgiving night. Many host parents will have the Friday after Thanksgiving (Black Friday) off from work and they may want to do some holiday shopping. Be sure to ask what your schedule will be on Black Friday before making your shopping plans! Whether you’re celebrating with your host family or new friends  be sure to make it a day to remember. Try new foods  watch new sports  check out the parade  and share what you’re thankful for this year! And remember that Thanksgiving is just the beginning of the holiday season in the USA! Read about otherholiday traditions that you may be unfamiliar with. Marisa is a lover of all things cultural exchange. She and her family have hosted au pairs from Brazil  Germany  Colombia  Spain  and Ecuador. As a mom of four and the founder of Mama Work It  she helps working moms juggle mom life  work life  spouse life  fill in the blank life through her books  courses and coaching programs. The Au Pair Life blog is a resource for au pairs visiting the U.S. as participants of the Au Pair USA program. Visit the Host Family blog Follow on our social communities and receive NEW posts       © 2025Au Pair USA Life – Au Pair Blog,https://blog.aupairusa.org/au-pairs/cultural-exchange-stories/thanksgiving-tips-for-au-pairs/
Getting to Know Au Pair Aline from Mexico,Want to get to know our amazing au pairs here atAu Pair USA? This week we’re bringing you an interview we had with au pair Aline (24). Aline shares all about her au pair experience  from the easy YES ofmatchingwith her host family to a funny memory she will cherish in her cultural exchange experience. Check it out below! Au Pair Aline:I’m from Mexico and I live in Missouri. Au Pair Aline:Two little twins  1 year old Au Pair Aline:Creative  patient  and fun Au Pair Aline:From the first moment I met them I knew it was them  they answered allmy questionsand were there for the whole process from the match to the day of the flight. They trusted me from the very first moment. I still remember when they asked me to be their au pair with the following words “We believe in you and we want you to be part of our family”. It was a super nice feeling. Au Pair Aline:When I arrived my host family greeted me with a sign and a welcome gift.On my first weekend with them we went out to an art fair and ate Mexican food. The first time I met the twins they were playing with blocks  and I made them laugh. When they laughed for the first time  I knew my choice was the right one. Au Pair Aline:Being able to be part of children’s lives. Au Pair Aline:I saw their first baby steps  and it is a feeling I can’t describe (happiness and pride). Au Pair Aline:The first time we ate Mexican food  we went to a nearby restaurant which had Latin music  and the babies started dancing and they loved it! Then we all started dancing with them. Au Pair Aline:Through social networks and by mail Au Pair Aline:I advise you to ask all the necessary questions to your host family and to take your time whenmatching. Thanks  Aline  for sharing your story with us! We’re happy to hear you’re enjoying your au pair program experience with those cute twins! Marisa is a lover of all things cultural exchange. She and her family have hosted au pairs from Brazil  Germany  Colombia  Spain  and Ecuador. As a mom of four and the founder of Mama Work It  she helps working moms juggle mom life  work life  spouse life  fill in the blank life through her books  courses and coaching programs. The Au Pair Life blog is a resource for au pairs visiting the U.S. as participants of the Au Pair USA program. Visit the Host Family blog Follow on our social communities and receive NEW posts       © 2025Au Pair USA Life – Au Pair Blog,https://blog.aupairusa.org/au-pairs/life-in-america/au-pair-aline-from-mexico/
Enjoying the Trip, No Matter What!,When Alexa (26) from Germany joined the Au Pair program  she was excited to match with an incredible host family with three adorable kiddos. After leaving her office job in Germany and arriving in the Seattle Washingtonarea in August 2024  Alexa settled in as a full-time  live-in caregiver to a six-month-old  two- and three-year-old. She soon found her groove as an au pair  managing the two toddlers and a baby. She also quickly made friends with au pairs in the vicinity and began her cultural exchange experience. Being an avid traveler in Europe and having visited many countries like Spain  Italy  Greece  Hungary  Montenegro  Albania  and Israel  Alexa knew she wanted to alsotravelas much as possible during her time in the U.S. So  when her au pair friend  Rika (19)  from South Africa invited her on a spontaneous trip to Chicago one weekend  she couldn’t say no! After clearing her vacation plans with herhost family  Alexa and Rika flew out of Washington on a Thursday night redeye flight  arriving Friday morning in Chicago. What happened next was not in the travel plans though. Rika lost her purse! Having no money or ID while traveling is certainly challenging. Add being in a foreign country to the mix  and it’s even more stressful. Alexa and Rika spent their first hours in Chicago filing a police report and figuring out next steps to navigate the situation. Once they had taken all the necessary steps  they began a fun day in a new city. The off-duty au pairs walked around Chicago  visiting touristy spots likeThe Bean. They took a boat trip and ended their first day with hamburgers in their hotel room. The rest of the trip was filled with exploratory walks and popping into planned places like The Nutella Cafe  where they enjoyed delicious ice cream.  It was a great lesson for me to take things easy  because if you can’t change it  you can still make the best out of the situation you’re in. -Alexa  Alexa and Rika finally boarded their flight home to Washington after an adventure-packed weekend and returned home Sunday morning. Alexa’s host family picked them up from the airport. After doing laundry  showering  and then taking a long nap so she was well rested for work on Monday  Alexa was grateful for the incredible trip she’d been able to experience with her new friend  despite the unfortunate purse incident. We asked what her tips would be for traveling since she has been to so many places  here’s what Alexa had to say: It’s very important to look up some stuff in advance . Know where you want to go  a special restaurant to try or shop to go to. I like to go with the flow  but I am also a little more structured when I visit a new place so I do some research in advance-like on TikTok or Instagram or with some bloggers who have been to this city before. -Alexa Watch your stuff so you don’t lose anything. Enjoy your time even if you do lose it though. Time is too short to be sad or mad about the things you can’t change. -Alexa We’re glad you had a great trip  Alexa and Rika! Thanks for sharing your story withAu Pair USA! Marisa is a lover of all things cultural exchange. She and her family have hosted au pairs from Brazil  Germany  Colombia  Spain  and Ecuador. As a mom of four and the founder of Mama Work It  she helps working moms juggle mom life  work life  spouse life  fill in the blank life through her books  courses and coaching programs. The Au Pair Life blog is a resource for au pairs visiting the U.S. as participants of the Au Pair USA program. Visit the Host Family blog Follow on our social communities and receive NEW posts       © 2025Au Pair USA Life – Au Pair Blog,https://blog.aupairusa.org/au-pairs/life-in-america/enjoying-the-trip-no-matter-what/
Halloween Safety Tips For Kids and Au Pairs,This post was originally published in September 2019 and revised in October 2024 by other contributors. We bet you’ve been looking forward to trick-or-treating with your host kids! Trick-or-treating is an American tradition straight out of the movies  and we’re thrilled that you get to experience it. Have a memorable and safe Halloween by following these safety tips. Halloween is another chance for you to share your culture! Teach your host children how to say “Thank You” in your native language. Encourage them to practice it every time they’re given a piece of candy. When you get home and finish enjoying your sweets  help your host children brush their teeth. Make it fun by opening a new  colorful toothbrush  singing a silly song  or making faces in the mirror. If you decide to go to a Halloween party or outing for grown ups only  make safe choices! We hope you have a fabulous Halloween in the USA! Joy is a huge advocate for cultural exchange. She's lived across the U.S. and various countries around the world including the UK  Australia and Indonesia. She has a unique perspective on working and thriving in other cultures. She's been a contributing author on Au Pair USA program. The Au Pair Life blog is a resource for au pairs visiting the U.S. as participants of the Au Pair USA program. Visit the Host Family blog Follow on our social communities and receive NEW posts       © 2025Au Pair USA Life – Au Pair Blog,https://blog.aupairusa.org/au-pairs/au-pair-advice/halloween-safety-for-kids-and-au-pairs/
Au Pair Educational Course Requirements Frequently Asked Questions,This post was originally published in April 2019 and revised in September 2024 by other contributors. As part of theU.S. Department of State’s Au Pair Program regulations  au pairs are required to complete at least six semester hours of credit at anaccreditedpost-secondary institution during their program year. This educational requirement provides a fantastic way for you to pursue your educational interests  meet new people  and experience an important aspect of American culture. Host families are required to give au pairs up to$500 towards these educational classes per program year. Here are some frequently asked questions about the au pair education requirement. This information is also in the Au Pair USAAu Pair Handbook. Your Local Coordinator will have advice about eligible classes in your area. Six credits over the course of the au pair program year are required. A typical college-level class earns 3 credits and lasts several months  so it is important to get started finding a class right away. If the class you want to take is at an accredited post-secondary institute but it doesn’t offer credit  you may be able to count the number of hours of class time toward your requirement.. Each 30-hour class is equal to 3 credits  so you’ll likely need to take two classes to complete your au pair educational requirement. As with any other classes  be sure to submit aClass Pre-Approval Formbefore enrolling. Classes must be on the campus of and/or be associated with an accredited post-secondary institution  which is generally a college or university. Keep in mind that library  community center  and church-based classes typically are not accepted unless they are affiliated with an accredited  post-secondary institution. Sometimes classes can be taken virtually as well. Always check that the course you plan to take is through an accredited  post-secondary institution. You should always submit aClass Pre-Approval Formto Au Pair USA before enrolling or paying for a class. Au Pair USA reviews the forms  and will let you know if the course will be approved and how many credits you will receive. Sooner is better! Au Pair USA recommends researching the types of classes you are interested in taking as soon as you’ve matched with a host family. This will give you enough time to discuss the schedule with your host family and get thePre-Approvalprocess started. Keep in mind that most academic terms have specific start dates (often in August and January)  so be sure you have enough time to enroll before the start date. Most classes that earn academic credit at an accredited post-secondary institution are accepted. Classes that earn Continuing Education Units (CEUs) rather than academic credits (typically part of a university Continuing Education Program or Adult Education Program)) should have an academic focus such as language  marketing  history  science  psychology  English as a Second language  and so on. Make sure you getPre-Approvalfor all classes. In general  these classes are not acceptable unless they have a strong academic component and earn credits (not CEUs) at an accredited university. In general  if these classes are held at an accredited academic university  they will be approved. The most important thing to do is submit aClass Pre-Approval Form. Your Local Coordinator can also help you find appropriate course options and answer your questions. Check yourAu Pair USA Passport profileas some pre-approved classes may be listed there as well. Your host family may also be able to help you with local options  especially if they have hosted au pairs before. Weekend au pair courses which earn three credits from an accredited university provide you with an opportunity to earn credit quickly. This is especially useful if you are not able to complete a longer course due to time constraints. However  there are many different class operators and you will still need to make sure that the class you want to take is acceptable to Au Pair USA and affiliated with an accredited university. These classes are generally more expensive than local options because the au pair must pay for travel  food  and lodging in addition to the class’s tuition cost. Remember that au pairs have a $500 educational allowance provided by their host family for their 12-month program to complete the 6 credit hours. Au Pair USA does not accept courses that earn 6 credits in one weekend unless they involve 60 hours of classroom time. Some courses advertise that they will fulfill 60 hours worth of educational hours. However  when looking at the class schedule  only 30 hours are with an instructor learning in an educational environment  and the other 30 hours are assignments before and after. In this case  Au Pair USA would only be able to count the 30 hours of class time. If you are going home after the12-monthprogram is over  your education must be completed before your program end date. If you plan to extend your program  you have to complete the educational requirement before you can submit the extension application  which is no later than45days before your scheduled program end date. Au Pair USA recommends planning early! We cannot submit your extension request to the U.S. Department of State without your completed education component. When the course is finished  au pairs must obtain a school document as proof that they completed the class. This might be a letter  certificate  or transcript from the school. Au pairs then upload those documents to the “End of Year” tab inPassport. You must complete and upload these documents in order to successfully conclude the program. Host parents support au pairs in three ways: Yes. If you decide to extend your au pair program  you must fulfill new education requirements  and host parents must help pay. Au Pair USA hopes these answers provide clear guidance about the educational requirement for au pairs! Remember  your Local Coordinator orAu Pair Handbookare wonderful sources of information if you have further questions about the au pair  educational requirement.  Joy is a huge advocate for cultural exchange. She's lived across the U.S. and various countries around the world including the UK  Australia and Indonesia. She has a unique perspective on working and thriving in other cultures. She's been a contributing author on Au Pair USA program. You must belogged into post a comment. The Au Pair Life blog is a resource for au pairs visiting the U.S. as participants of the Au Pair USA program. Visit the Host Family blog Follow on our social communities and receive NEW posts       © 2025Au Pair USA Life – Au Pair Blog,https://blog.aupairusa.org/au-pairs/program-resources-for-au-pairs/au-pair-educational-course-requirement-faqs/
Au Pair Important Information About Drinking and Driving,Drinking alcohol and then driving a car is taken very seriously in the United States. Not only is it against the law  but it’s frowned upon in American society  not to mention extremely dangerous. Au Pair USA wants everyone to be safe and has a zero-tolerance policy for drinking and driving.Never drive a car after drinking  even if you’ve only had one sip of alcohol! If you’re caught drinking and driving  either by the police or your host family  the following could happen: Avoiding drinking and driving is easy  as long as you have a plan. Stay safe by: Drinking laws and cultures are different all around the world. Here are a few tips about consuming alcohol in the U.S. Remember  as an au pair you are a role model for your host kids. Your behavior may have a big influence on their lives. Your host family cares about you and doesn’t want anything bad to happen to you. One small decision can negatively affect you for the rest of your life. Don’t drink and drive! It’s the law! This post was originally published in September 2019 and was revised in September 2024 by other contributors. Joy is a huge advocate for cultural exchange. She's lived across the U.S. and various countries around the world including the UK  Australia and Indonesia. She has a unique perspective on working and thriving in other cultures. She's been a contributing author on Au Pair USA program. The Au Pair Life blog is a resource for au pairs visiting the U.S. as participants of the Au Pair USA program. Visit the Host Family blog Follow on our social communities and receive NEW posts       © 2025Au Pair USA Life – Au Pair Blog,https://blog.aupairusa.org/au-pairs/au-pair-advice/au-pair-important-information-about-drinking-and-driving/
